rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
9772,8e480cfa-81ec-4ec1-a861-2eb81d6ea26e,Sprint Schwepnitz Dresdner Str.,Sprint,Schwepnitz,01936,e10,E10,59.83,76.243,82.093,21.155,2.149,9.0,3.0,0.0,2.0,3.0,6.0,1
9772,92bcc448-16fd-43ec-b213-b3f1821ac573,Niederkassel,Mundorf Tank,Niederkassel,53859,e10,E10,59.83,76.243,82.093,21.155,2.149,9.0,3.0,0.0,1.0,3.0,4.0,1
9775,00060743-0560-4444-8888-acdc00000560,Tankstelle Seehausen,VR PLUS Energie,Seehausen,39615,diesel,Diesel,59.829,89.142,64.978,25.368,2.199,12.0,3.0,0.0,5.0,8.0,13.0,1
9775,02eb5061-3189-4127-ac5a-0f67610b7dcc,Erika Henneberger,Esso,Kleinrinderfeld,97271,diesel,Diesel,59.829,81.43,18.393,79.665,2.229,16.0,1.0,5.0,13.0,14.0,14.0,1
9775,7b7bc0f9-1fa7-431f-8725-8c239d8e15ed,Dieter Körner,Esso,Großrinderfeld,97950,diesel,Diesel,59.829,81.43,18.393,79.665,2.229,16.0,1.0,5.0,13.0,14.0,14.0,1
9775,9ea1b621-8932-4b5c-9003-8302360d9392,Giovanni Brucculeri,Esso,Sandhausen,69207,diesel,Diesel,59.829,81.43,18.393,79.665,2.229,16.0,1.0,4.0,13.0,14.0,14.0,1
9775,fd0297ad-c29d-48ac-a33f-47f155103ae5,Giovanni Brucculeri,Esso,Ludwigshafen,67065,diesel,Diesel,59.829,81.43,18.393,79.665,2.229,16.0,1.0,4.0,13.0,14.0,14.0,1
9780,7ff7575b-482e-5501-9297-2455be381867,Soltau,Hoyer,Soltau,29614,e10,E10,59.826,83.156,90.112,6.211,2.139,7.0,5.0,0.0,0.0,3.0,7.0,1
9780,274e07a9-b212-4902-929b-2189a8e6932d,Freie Tankstelle,Freie Tankstelle,Halfing,83128,e5,E5,59.826,47.441,49.52,82.516,2.229,12.0,1.0,7.0,13.0,13.0,13.0,1
9780,309823ca-2297-40fa-b57e-c8eab590bba9,Sprint,Sprint,Ottobrunn,85521,e5,E5,59.826,47.441,49.52,82.516,2.229,12.0,1.0,11.0,12.0,13.0,13.0,1
9780,4569bdae-4e94-441e-b92a-158bb2bb5159,PIN Service-Station,PIN Service-Station,Thannhausen,86470,e5,E5,59.826,47.441,49.52,82.516,2.229,12.0,1.0,12.0,12.0,13.0,13.0,1
9780,7b9196ef-f993-4df1-a5e2-f6f7d364b7a9,AVIA Tankstelle,AVIA XPress,Mering,86415,e5,E5,59.826,47.441,49.52,82.516,2.229,12.0,1.0,3.0,13.0,13.0,13.0,1
9780,f2c8e3bc-9782-425a-83cc-acff3b798d56,Walther Tankstelle,bft - Walther,Gerolzhofen,97447,e5,E5,59.826,47.441,49.52,82.516,2.229,12.0,1.0,8.0,13.0,13.0,13.0,1
9786,005056ba-7cb6-1ed2-bceb-a5c77b480d41,star Tankstelle,STAR,Schneverdingen,29640,diesel,Diesel,59.822,66.426,64.978,48.063,2.249,12.0,2.0,3.0,7.0,10.0,12.0,1
