rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
7319,b2fce8cb-3310-4254-963e-cd669a12f327,Aral Tankstelle,ARAL,Fürstenzell,94081,Passauer Straße,39,diesel|e10|e5,3,43.394,34.537,52.467,43.178,2.229,12.33,3.0,7.33,11.67,11.67,1,,,
7320,005056ba-7cb6-1ed2-bceb-9553bc478d38,star Tankstelle,STAR,Allstedt,06542,Sophienstraße,13,diesel|e10|e5,3,43.388,66.155,35.666,28.341,2.209,13.67,3.0,4.67,7.0,12.0,1,,,
7321,9f601274-d1a5-4672-9773-bc56705716fc,Aral Tankstelle,ARAL,Bad Kötzting,93444,Arnbrucker Straße,1 a,diesel|e10|e5,3,43.385,34.537,63.984,31.635,2.229,11.33,3.0,4.67,8.67,10.33,1,,,
7322,e8eb89d2-fc39-415c-8c21-2d7239248417,Petra Wielpütz,Westfalen,Köln,50829,Spenrather Weg,1,diesel|e10|e5,3,43.379,54.562,25.281,50.293,2.216,14.33,3.0,8.0,10.67,12.33,1,,,
7323,9e2b9946-eeb8-4f80-8f86-0c376928257d,AVIA Alpirsbach,AVIA,Alpirsbach,72275,Bahnhofstr.,1,diesel|e10|e5,3,43.366,34.537,41.102,54.46,2.229,13.0,2.0,7.0,10.33,10.33,1,,,
7323,d1a55036-8b15-4cbc-b7e1-037b15fd963f,AVIA Schiltach,AVIA,Schiltach,77761,Hauptstr.,73,diesel|e10|e5,3,43.366,34.537,41.102,54.46,2.229,13.0,2.0,7.0,10.33,10.33,1,,,
7325,d48e3acf-7a20-4f04-aa9c-f793ec87d1e8,Bernd Wentzel,Westfalen,Auetal,31749,Zur Obersburg,2,diesel|e10|e5,3,43.354,12.931,75.663,41.468,2.252,10.0,3.0,4.0,7.33,8.33,1,,,
7326,1f4f767c-6aa9-4c9c-85eb-2c3a1d71e937,Esso Station,ESSO,Gunzenhausen,91710,Weißenburger Str. 80,,diesel|e10|e5,3,43.353,12.036,29.592,88.43,2.246,14.0,1.0,13.67,17.33,17.33,1,,,
7326,7c73db2c-203a-4e56-b195-3d048bb0f544,Esso Tankstelle,ESSO,FUERTH,90766,WUERZBURGER STR. 134,,diesel|e10|e5,3,43.353,12.036,29.592,88.43,2.246,14.0,1.0,8.67,17.33,17.33,1,,,
7328,4b57ad4b-8b70-45fc-869f-e613a6294ce9,Esso Tankstelle,ESSO,LEIPZIG,04129,MAXIMILIANALLEE 26,,diesel|e10|e5,3,43.344,12.036,48.999,68.997,2.246,12.33,1.0,8.33,10.33,13.0,1,,,
7329,1605f19f-a8b6-4445-82a4-8bbfea0f9f5e,AVIA Tankstelle,AVIA,Kammerstein,91126,Hauptstraße,2,diesel|e10|e5,3,43.343,10.661,47.65,71.718,2.249,12.33,1.0,8.33,10.67,11.0,1,,,
7330,1cb3afd6-5668-41e4-a34f-8642b073f2a7,Autohaus Rudolf Streit e.K.,Esso,Ostheim v. d. Rhön,97645,Nordheimer Str.,10a,diesel|e10|e5,3,43.335,23.495,17.622,88.887,2.249,15.0,1.0,14.0,18.67,18.67,1,,,
7331,005056ba-7cb6-1ed2-bceb-5976e66d8d18,ORLEN Tankstelle,ORLEN,Leopoldshöhe,33818,Hauptstraße,33,diesel|e10|e5,3,43.324,66.155,2.298,61.518,2.209,18.0,3.0,15.0,17.0,17.33,1,,,
7332,d5f5b95e-51e1-4c44-b68d-a007fd356a29,Tasdemir Tankstellenbetrieb GmbH,Esso,Gemünden,97737,Karlstadter Str.,8,diesel|e10|e5,3,43.323,23.495,18.545,87.929,2.249,15.33,1.0,15.33,17.33,17.33,1,,,
7333,d20daa3e-3cbe-4e84-a022-c281a14660a9,Gökhan Orhan,Westfalen,Duisburg,47198,Rheindeichstr.,20,diesel|e10|e5,3,43.311,10.486,40.216,79.23,2.252,13.0,1.0,11.33,12.67,14.0,1,,,
7334,b2ec5742-4cdf-4ba2-8cae-b8e28c7ed48d,Tankcenter Haltern,Tankcenter,Haltern,45721,Nordwall,50,diesel|e10|e5,3,43.307,58.777,36.481,34.663,2.216,13.33,5.0,1.67,10.67,10.67,1,,,
7335,3e703595-1c36-4ca5-957e-7247c270fc31,Shell Schweinfurt Gretel-Baumbach-Str. 6,Shell,Schweinfurt,97424,Gretel-Baumbach-Str.,6,diesel|e10|e5,3,43.304,25.834,75.663,28.415,2.236,10.0,3.0,6.33,7.67,8.33,1,,,
7335,ec728811-f741-4013-91d2-6c415a241ffe,Shell Versmold Westheider Weg 25,Shell,Versmold,33775,Westheider Weg,25,diesel|e10|e5,3,43.304,25.834,75.663,28.415,2.236,10.0,3.0,3.67,7.67,7.67,1,,,
7337,0cf1db14-30b0-4108-99e2-e3e2d500ab7f,team Tankstelle Fredersdorf,team,Fredersdorf,15370,Fredersdorfer Chaussee,67,diesel|e10|e5,3,43.301,4.274,41.102,84.526,2.269,13.0,1.0,10.33,14.67,15.67,1,,,
7338,15a909b6-6361-49e8-95ea-e1b274553b64,TotalEnergies Nauen,TotalEnergies,Nauen,14641,Berliner Str.,123,diesel|e10|e5,3,43.295,43.339,65.26,21.286,2.226,11.0,5.0,2.67,8.0,10.0,1,,,
7339,65310f30-339f-44f1-a2c9-7476af30fae3,TotalEnergies Truckstop Holzguenz,TotalEnergies Truckstop,Ungerhausen,87781,Gutenbergstr.,2,diesel|e10|e5,3,43.288,25.834,65.558,38.472,2.236,11.33,3.0,6.33,9.0,10.67,1,,,
7340,8cc72050-52fe-4020-b3a7-25ca502b4ede,Aral Tankstelle,ARAL,Renningen,71272,Leonberger Straße,76,diesel|e10|e5,3,43.286,50.81,27.922,51.126,2.219,14.0,3.0,10.33,14.0,14.0,1,,,
7341,d57c61e6-89ff-46a1-9933-da657a483093,Esso Tankstelle,ESSO,LAUENAU,31867,HANOMAGSTR. 2,,diesel|e10|e5,3,43.285,12.036,31.829,85.989,2.246,13.67,1.0,10.0,15.33,15.33,1,,,
7342,3de25454-a313-435e-88b0-742daaeb8927,Aral Tankstelle,ARAL,Bad Honnef,53604,Rottbitzer Straße,32,diesel|e10|e5,3,43.273,50.81,27.194,51.816,2.219,14.0,2.0,8.0,9.67,9.67,1,,,
7343,00060266-0001-4444-8888-acdc00000001,Tankstelle Kuntze Bäumenheim,Unbekannt,Asbach-Bäumeheim,86663,Raiffeisen Str.,2,diesel|e10|e5,3,43.272,25.834,27.159,76.822,2.236,14.33,1.0,12.0,12.0,12.0,1,,,
7344,5893cdbe-eb0f-4b00-b27e-c4ff0fb68e3c,Esso Tankstelle,ESSO,HOF,95030,KULMBACHER STR. 56,,diesel|e10|e5,3,43.268,12.036,37.795,79.975,2.246,13.33,1.0,11.67,14.0,15.67,1,,,
7345,2b44c5b6-3db1-43e8-ab2c-4ea58036bc2e,Freie Tankstelle,Freie Tankstelle Pöpken,Wardenburg-Oberleth,26203,Ammerländer Str.,13,diesel|e10|e5,3,43.267,87.541,40.216,2.045,2.176,13.0,22.0,0.0,0.0,0.0,1,,,
7346,10074b46-f314-4eac-9f7a-5ddd789dd5c9,AVIA Tankstelle,AVIA,Ihlow,26632,Emder Straße,8,diesel|e10|e5,3,43.257,3.479,41.102,85.192,2.266,13.0,1.0,14.67,14.67,14.67,1,,,
7347,6ca6855c-7f9d-429b-95e7-ca6f91003790,Esso Tankstelle,ESSO,BAYREUTH,95445,HINDENBURGSTR. 4,,diesel|e10|e5,3,43.256,12.036,30.895,86.836,2.246,13.67,1.0,15.67,16.33,16.33,1,,,
7348,5e9a0aaf-c0ad-4670-a58e-617be7dce409,Esso Tankstelle,ESSO,ELMSHORN,25337,HAMBURGER STR. 211,,diesel|e10|e5,3,43.252,12.036,41.102,76.617,2.246,13.0,1.0,9.0,12.0,14.0,1,,,
7349,aa842438-c80d-46c1-828f-2cadb756d013,Tankstelle Dillenburg,Roth- Energie,Dillenburg,35683,Am Güterbahnhof Str.,28,diesel|e10|e5,3,43.245,59.563,55.532,14.64,2.209,11.33,3.0,0.67,2.0,2.67,1,,,
7350,0ef3b459-b437-40d9-be79-3d021c5e5583,Shell Wismar Schweriner Str. 20,Shell,Wismar,23970,Schweriner Str.,20,diesel|e10|e5,3,43.242,25.834,68.05,35.843,2.236,10.67,3.0,7.0,9.0,9.0,1,,,
7351,00061796-1231-4444-8888-acdc00001231,Mengin Tank-Stop Schöffengrund,Mengin,Schöffengrund-Schwalbach,35641,Steuterweg,23,diesel|e10|e5,3,43.234,22.365,49.999,57.339,2.239,12.0,1.0,3.33,6.33,6.33,1,,,
7352,d9823fc2-e5f4-4919-aa57-fa3bcc22be3d,TotalEnergies Braunschweig,TotalEnergies,Braunschweig,38114,Celler Str.,65,diesel|e10|e5,3,43.232,43.339,22.918,63.439,2.226,15.0,2.0,9.67,13.33,13.67,1,,,
7353,1cf7a642-26bb-4dd4-a011-914025d0b7de,TotalEnergies Rathenow,TotalEnergies,Rathenow,14712,Berliner Str.,23,diesel|e10|e5,3,43.228,43.339,48.999,37.346,2.226,12.33,4.0,5.0,11.0,11.67,1,,,
7353,3f6daee0-d867-409c-81d6-5f480951a601,TotalEnergies Rathenow,TotalEnergies,Rathenow,14712,Milower Landstr.,35B,diesel|e10|e5,3,43.228,43.339,48.999,37.346,2.226,12.33,4.0,5.0,11.0,11.67,1,,,
7353,863cf90d-1d02-4b60-afbe-9aa69420efa3,TotalEnergies Premnitz,TotalEnergies,Premnitz,14727,An der B102,2,diesel|e10|e5,3,43.228,43.339,48.999,37.346,2.226,12.33,4.0,5.0,11.0,11.67,1,,,
